"","company_location","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_size","country","alpha-3-code","numeric_code","latitude","longitude"
"1","AE",2022,"SE","FT","Machine Learning Engineer",120000,"USD",120000,"AE",100,"S","United Arab Emirates","ARE",784,24,54
"2","AE",2020,"MI","FT","Lead Data Scientist",115000,"USD",115000,"AE",0,"L","United Arab Emirates","ARE",784,24,54
"3","AE",2022,"SE","FT","Machine Learning Engineer",65000,"USD",65000,"AE",100,"S","United Arab Emirates","ARE",784,24,54
"4","AL",2022,"SE","FT","3D Computer Vision Researcher",10000,"USD",10000,"CA",50,"S","Albania","ALB",8,41,20
"5","AM",2023,"MI","FT","Machine Learning Engineer",50000,"USD",50000,"AM",0,"S","Armenia","ARM",51,40,45
"6","AR",2022,"EN","FT","Data Analyst",50000,"USD",50000,"AR",100,"L","Argentina","ARG",32,-34,-64
"7","AR",2022,"EN","FT","Machine Learning Engineer",12000,"USD",12000,"AR",100,"L","Argentina","ARG",32,-34,-64
"8","AR",2022,"EN","FT","Data Analytics Engineer",13000,"USD",13000,"AR",100,"S","Argentina","ARG",32,-34,-64
"9","AS",2021,"EN","FT","AI Scientist",1335000,"INR",18053,"IN",100,"S","American Samoa","ASM",16,-14.3333,-170
"10","AS",2022,"EN","FT","Business Data Analyst",50000,"USD",50000,"IN",100,"L","American Samoa","ASM",16,-14.3333,-170
"11","AS",2021,"EN","FT","3D Computer Vision Researcher",20000,"USD",20000,"AS",0,"M","American Samoa","ASM",16,-14.3333,-170
"12","AT",2022,"EN","FT","Applied Data Scientist",50000,"USD",50000,"AT",50,"M","Austria","AUT",40,47.3333,13.3333
"13","AT",2021,"MI","FT","Data Scientist",52000,"EUR",61467,"DE",50,"M","Austria","AUT",40,47.3333,13.3333
"14","AT",2022,"MI","FT","Data Scientist Lead",85000,"EUR",89306,"AT",50,"L","Austria","AUT",40,47.3333,13.3333
"15","AT",2020,"MI","FT","Data Engineer",65000,"EUR",74130,"AT",50,"L","Austria","AUT",40,47.3333,13.3333
"16","AT",2022,"MI","FT","Research Scientist",59000,"EUR",61989,"AT",0,"L","Austria","AUT",40,47.3333,13.3333
"17","AT",2020,"SE","FT","Data Scientist",80000,"EUR",91237,"AT",0,"S","Austria","AUT",40,47.3333,13.3333
"18","AU",2021,"MI","FT","Data Engineer",1e+05,"AUD",75050,"AU",50,"L","Australia","AUS",36,-27,133
"19","AU",2021,"EN","FT","Data Analyst",56000,"AUD",42028,"AU",50,"L","Australia","AUS",36,-27,133
"20","AU",2022,"EN","FT","AI Programmer",40000,"USD",40000,"PK",100,"M","Australia","AUS",36,-27,133
"21","AU",2022,"MI","FT","BI Data Analyst",77000,"AUD",53368,"AU",100,"M","Australia","AUS",36,-27,133
"22","AU",2022,"EN","FT","Computer Vision Software Engineer",150000,"USD",150000,"AU",100,"S","Australia","AUS",36,-27,133
"23","AU",2022,"SE","FT","Data Analyst",171000,"USD",171000,"US",100,"L","Australia","AUS",36,-27,133
"24","AU",2022,"MI","FT","Machine Learning Engineer",121000,"AUD",83864,"AU",100,"L","Australia","AUS",36,-27,133
"25","AU",2022,"SE","FT","Data Science Manager",193000,"AUD",133766,"AU",100,"L","Australia","AUS",36,-27,133
"26","AU",2022,"MI","FT","Data Scientist",120000,"AUD",83171,"AU",0,"L","Australia","AUS",36,-27,133
"27","AU",2022,"MI","FT","BI Data Analyst",65000,"AUD",45050,"AU",50,"L","Australia","AUS",36,-27,133
"28","AU",2022,"EN","FT","Machine Learning Developer",40000,"USD",40000,"PK",100,"M","Australia","AUS",36,-27,133
"29","AU",2022,"EN","FT","Data Scientist",120000,"AUD",83171,"AU",50,"M","Australia","AUS",36,-27,133
"30","BA",2023,"EN","FT","AI Developer",120000,"USD",120000,"BA",50,"S","Bosnia and Herzegovina","BIH",70,44,18
"31","BE",2022,"EN","FT","Data Scientist",49500,"EUR",52008,"BE",50,"S","Belgium","BEL",56,50.8333,4
"32","BE",2021,"SE","FT","Machine Learning Engineer",70000,"EUR",82744,"BE",50,"M","Belgium","BEL",56,50.8333,4
"33","BE",2022,"EN","FT","Data Scientist",80000,"EUR",84053,"BE",100,"L","Belgium","BEL",56,50.8333,4
"34","BE",2021,"MI","FT","Machine Learning Engineer",75000,"EUR",88654,"BE",100,"M","Belgium","BEL",56,50.8333,4
"35","BO",2022,"MI","CT","Analytics Engineer",7500,"USD",7500,"BO",50,"M","Bolivia","BOL",68,-17,-65
"36","BO",2022,"MI","CT","Analytics Engineer",7500,"USD",7500,"BO",50,"M","Bolivia","BOL",68,-17,-65
"37","BR",2022,"MI","FT","BI Analyst",78000,"USD",78000,"BR",100,"M","Brazil","BRA",76,-10,-55
"38","BR",2022,"MI","FT","Data Engineer",42000,"USD",42000,"BR",100,"M","Brazil","BRA",76,-10,-55
"39","BR",2021,"MI","FT","Data Scientist",69600,"BRL",12901,"BR",0,"S","Brazil","BRA",76,-10,-55
"40","BR",2023,"EN","FT","Data Scientist",101400,"BRL",19560,"BR",100,"L","Brazil","BRA",76,-10,-55
"41","BR",2022,"MI","FT","Data Engineer",78000,"USD",78000,"BR",100,"M","Brazil","BRA",76,-10,-55
"42","BR",2022,"EN","FT","Data Analyst",40300,"BRL",7799,"BR",100,"L","Brazil","BRA",76,-10,-55
"43","BR",2021,"SE","FT","Computer Vision Engineer",24000,"USD",24000,"BR",100,"M","Brazil","BRA",76,-10,-55
"44","BR",2022,"MI","FT","Analytics Engineer",78000,"USD",78000,"BR",100,"M","Brazil","BRA",76,-10,-55
"45","BR",2022,"MI","FT","Data Scientist",84000,"USD",84000,"BR",100,"M","Brazil","BRA",76,-10,-55
"46","BR",2021,"SE","FT","Computer Vision Engineer",102000,"BRL",18907,"BR",0,"M","Brazil","BRA",76,-10,-55
"47","BR",2022,"MI","FT","BI Analyst",48000,"USD",48000,"BR",100,"M","Brazil","BRA",76,-10,-55
"48","BR",2022,"MI","FT","Data Scientist",54000,"USD",54000,"BR",100,"M","Brazil","BRA",76,-10,-55
"49","BR",2022,"MI","FT","Analytics Engineer",48000,"USD",48000,"BR",100,"M","Brazil","BRA",76,-10,-55
"50","BR",2022,"EN","FT","BI Data Analyst",32400,"BRL",6270,"BR",100,"L","Brazil","BRA",76,-10,-55
"51","BS",2021,"MI","FL","Autonomous Vehicle Technician",45555,"USD",45555,"AS",50,"M","The Bahamas","BHS",44,24.25,-76
"52","CA",2022,"SE","FT","Data Architect",192400,"USD",192400,"CA",100,"M","Canada","CAN",124,60,-95
"53","CA",2022,"SE","FT","Data Analyst",61300,"USD",61300,"CA",100,"M","Canada","CAN",124,60,-95
"54","CA",2022,"EN","FT","Data Analyst",67000,"USD",67000,"CA",0,"M","Canada","CAN",124,60,-95
"55","CA",2022,"MI","FT","Principal Data Analyst",75000,"USD",75000,"CA",100,"S","Canada","CAN",124,60,-95
"56","CA",2022,"EX","FT","Lead Data Engineer",150000,"CAD",115222,"CA",100,"S","Canada","CAN",124,60,-95
"57","CA",2022,"MI","FT","Data Analyst",1e+05,"USD",1e+05,"CA",0,"M","Canada","CAN",124,60,-95
"58","CA",2022,"MI","FT","Machine Learning Researcher",137000,"CAD",105236,"CA",50,"L","Canada","CAN",124,60,-95
"59","CA",2022,"EN","FT","Data Scientist",66500,"CAD",51081,"CA",100,"L","Canada","CAN",124,60,-95
"60","CA",2022,"SE","FT","Machine Learning Engineer",187200,"USD",187200,"CA",100,"M","Canada","CAN",124,60,-95
"61","CA",2023,"SE","FT","Computer Vision Software Engineer",50000,"EUR",53921,"NL",100,"L","Canada","CAN",124,60,-95
"62","CA",2023,"SE","FT","Data Engineer",153000,"USD",153000,"CA",100,"M","Canada","CAN",124,60,-95
"63","CA",2022,"EN","FT","AI Scientist",2e+05,"USD",2e+05,"CA",50,"L","Canada","CAN",124,60,-95
"64","CA",2022,"EN","FT","Data Analyst",52000,"USD",52000,"CA",0,"M","Canada","CAN",124,60,-95
"65","CA",2022,"SE","FT","Machine Learning Engineer",116100,"USD",116100,"CA",100,"M","Canada","CAN",124,60,-95
"66","CA",2021,"SE","FT","Data Science Engineer",159500,"CAD",127221,"CA",50,"L","Canada","CAN",124,60,-95
"67","CA",2021,"MI","FT","Research Scientist",235000,"CAD",187442,"CA",100,"L","Canada","CAN",124,60,-95
"68","CA",2023,"SE","FT","Data Scientist",143100,"USD",143100,"CA",0,"M","Canada","CAN",124,60,-95
"69","CA",2022,"SE","FT","Machine Learning Software Engineer",183600,"USD",183600,"CA",100,"M","Canada","CAN",124,60,-95
"70","CA",2023,"SE","FT","Data Scientist",110000,"USD",110000,"CA",0,"M","Canada","CAN",124,60,-95
"71","CA",2022,"SE","FT","Big Data Engineer",210000,"CAD",161311,"CA",50,"M","Canada","CAN",124,60,-95
"72","CA",2022,"SE","FT","Data Engineer",132000,"USD",132000,"CA",0,"M","Canada","CAN",124,60,-95
"73","CA",2021,"SE","FT","Data Scientist",130000,"CAD",103691,"CA",100,"L","Canada","CAN",124,60,-95
"74","CA",2022,"SE","FT","Machine Learning Software Engineer",168000,"USD",168000,"CA",100,"M","Canada","CAN",124,60,-95
"75","CA",2022,"SE","FT","Machine Learning Developer",1e+05,"CAD",76814,"CA",100,"M","Canada","CAN",124,60,-95
"76","CA",2022,"SE","FT","Data Architect",90700,"USD",90700,"CA",100,"M","Canada","CAN",124,60,-95
"77","CA",2021,"MI","FT","Research Scientist",80000,"CAD",63810,"CA",100,"M","Canada","CAN",124,60,-95
"78","CA",2022,"EN","FT","Data Scientist",96000,"CAD",73742,"CA",100,"L","Canada","CAN",124,60,-95
"79","CA",2021,"SE","FT","Data Analyst",90000,"CAD",71786,"CA",100,"M","Canada","CAN",124,60,-95
"80","CA",2021,"SE","FT","Machine Learning Scientist",225000,"USD",225000,"US",100,"L","Canada","CAN",124,60,-95
"81","CA",2023,"SE","FT","Research Scientist",248100,"USD",248100,"CA",0,"M","Canada","CAN",124,60,-95
"82","CA",2022,"MI","FT","Data Scientist",88000,"CAD",67597,"CA",100,"M","Canada","CAN",124,60,-95
"83","CA",2023,"SE","FT","Director of Data Science",170000,"CAD",126603,"CA",50,"M","Canada","CAN",124,60,-95
"84","CA",2022,"SE","FT","Data Analyst",61300,"USD",61300,"CA",100,"M","Canada","CAN",124,60,-95
"85","CA",2022,"SE","FT","Data Analyst",130000,"USD",130000,"CA",100,"M","Canada","CAN",124,60,-95
"86","CA",2022,"SE","FT","Data Engineer",178000,"USD",178000,"CA",0,"M","Canada","CAN",124,60,-95
"87","CA",2021,"MI","FT","Data Scientist",95000,"CAD",75774,"CA",100,"L","Canada","CAN",124,60,-95
"88","CA",2022,"SE","FT","Machine Learning Software Engineer",227200,"USD",227200,"CA",100,"M","Canada","CAN",124,60,-95
"89","CA",2022,"MI","FT","Data Analyst",65000,"USD",65000,"CA",0,"M","Canada","CAN",124,60,-95
