"","company_location","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_size","country","alpha-3-code","numeric_code","latitude","longitude"
"90","CA",2021,"MI","FT","Applied Data Scientist",68000,"CAD",54238,"GB",50,"L","Canada","CAN",124,60,-95
"91","CA",2022,"SE","FT","Machine Learning Engineer",140000,"USD",140000,"CA",0,"M","Canada","CAN",124,60,-95
"92","CA",2023,"SE","FT","Data Scientist",120000,"USD",120000,"CA",0,"M","Canada","CAN",124,60,-95
"93","CA",2023,"SE","FT","Data Scientist",113000,"USD",113000,"CA",0,"M","Canada","CAN",124,60,-95
"94","CA",2022,"EX","FT","Director of Data Science",250000,"CAD",192037,"CA",50,"L","Canada","CAN",124,60,-95
"95","CA",2022,"SE","FT","Machine Learning Software Engineer",248400,"USD",248400,"CA",100,"M","Canada","CAN",124,60,-95
"96","CA",2023,"SE","FT","Data Engineer",94000,"USD",94000,"CA",100,"M","Canada","CAN",124,60,-95
"97","CA",2022,"SE","FT","Data Engineer",185800,"USD",185800,"CA",100,"M","Canada","CAN",124,60,-95
"98","CA",2021,"SE","FT","Research Scientist",120500,"CAD",96113,"CA",50,"L","Canada","CAN",124,60,-95
"99","CA",2022,"MI","FT","Machine Learning Developer",1e+05,"CAD",76814,"CA",100,"M","Canada","CAN",124,60,-95
"100","CA",2021,"SE","FT","Data Scientist",110000,"CAD",87738,"CA",100,"S","Canada","CAN",124,60,-95
"101","CA",2022,"MI","FT","Data Analyst",75000,"USD",75000,"CA",0,"M","Canada","CAN",124,60,-95
"102","CA",2022,"SE","FT","Data Engineer",137400,"USD",137400,"CA",100,"M","Canada","CAN",124,60,-95
"103","CA",2022,"EX","FT","Data Manager",164000,"CAD",125976,"CA",50,"L","Canada","CAN",124,60,-95
"104","CA",2022,"SE","FT","Data Analyst",130000,"USD",130000,"CA",100,"M","Canada","CAN",124,60,-95
"105","CA",2020,"SE","FT","Machine Learning Manager",157000,"CAD",117104,"CA",50,"L","Canada","CAN",124,60,-95
"106","CA",2021,"SE","FT","Big Data Architect",125000,"CAD",99703,"CA",50,"M","Canada","CAN",124,60,-95
"107","CA",2022,"MI","FT","Business Data Analyst",90000,"CAD",69133,"CA",50,"L","Canada","CAN",124,60,-95
"108","CA",2022,"MI","FT","Data Analyst",85000,"USD",85000,"CA",0,"M","Canada","CAN",124,60,-95
"109","CA",2023,"SE","FT","Research Scientist",145900,"USD",145900,"CA",0,"M","Canada","CAN",124,60,-95
"110","CA",2022,"SE","FT","Machine Learning Engineer",110000,"USD",110000,"CA",0,"M","Canada","CAN",124,60,-95
"111","CH",2022,"MI","FT","Data Scientist",115000,"CHF",120402,"CH",0,"L","Switzerland","CHE",756,47,8
"112","CH",2021,"EN","FT","Big Data Engineer",435000,"INR",5882,"IN",0,"L","Switzerland","CHE",756,47,8
"113","CH",2022,"MI","FT","Machine Learning Engineer",1e+05,"CHF",104697,"CH",100,"L","Switzerland","CHE",756,47,8
"114","CL",2021,"MI","FT","Data Scientist",30400000,"CLP",40038,"CL",100,"L","Chile","CHL",152,-30,-71
"115","CN",2021,"EN","FT","Research Scientist",1e+05,"USD",1e+05,"JE",0,"L","China","CHN",156,35,105
"116","CO",2022,"SE","FT","AI Scientist",125000,"USD",125000,"CO",100,"L","Colombia","COL",170,4,-72
"117","CO",2021,"EN","FT","Machine Learning Engineer",21844,"USD",21844,"CO",50,"M","Colombia","COL",170,4,-72
"118","CR",2022,"EN","FT","3D Computer Vision Researcher",50000,"USD",50000,"US",100,"S","Costa Rica","CRI",188,10,-84
"119","CZ",2022,"MI","FT","NLP Engineer",120000,"CZK",5132,"CZ",100,"M","Czech Republic","CZE",203,49.75,15.5
"120","CZ",2022,"EN","CT","Applied Machine Learning Scientist",29000,"EUR",30469,"TN",100,"M","Czech Republic","CZE",203,49.75,15.5
"121","CZ",2021,"MI","FT","Research Scientist",69999,"USD",69999,"CZ",50,"L","Czech Republic","CZE",203,49.75,15.5
"122","DE",2021,"EN","FT","Data Science Consultant",65000,"EUR",76833,"DE",100,"S","Germany","DEU",276,51,9
"123","DE",2020,"MI","FT","Data Engineering Manager",51999,"EUR",59303,"DE",100,"S","Germany","DEU",276,51,9
"124","DE",2021,"MI","FT","Data Scientist",21600,"EUR",25532,"RS",100,"S","Germany","DEU",276,51,9
"125","DE",2021,"EX","FT","Director of Data Science",110000,"EUR",130026,"DE",50,"M","Germany","DEU",276,51,9
"126","DE",2022,"MI","PT","Data Engineer",50000,"EUR",52533,"DE",50,"L","Germany","DEU",276,51,9
"127","DE",2020,"EN","FT","Data Scientist",55000,"EUR",62726,"DE",50,"S","Germany","DEU",276,51,9
"128","DE",2022,"EN","FT","Data Scientist",50000,"USD",50000,"US",50,"M","Germany","DEU",276,51,9
"129","DE",2020,"MI","FT","Data Scientist",70000,"EUR",79833,"DE",0,"L","Germany","DEU",276,51,9
"130","DE",2021,"MI","FT","Data Scientist",76760,"EUR",90734,"DE",50,"L","Germany","DEU",276,51,9
"131","DE",2021,"EN","FT","Data Science Consultant",54000,"EUR",63831,"DE",50,"L","Germany","DEU",276,51,9
"132","DE",2021,"MI","FT","Data Scientist",76760,"EUR",90734,"DE",50,"L","Germany","DEU",276,51,9
"133","DE",2022,"MI","FT","Data Scientist",58000,"EUR",60938,"DE",100,"S","Germany","DEU",276,51,9
"134","DE",2021,"EN","FT","Machine Learning Engineer",21000,"EUR",24823,"DE",50,"M","Germany","DEU",276,51,9
"135","DE",2022,"EN","FT","Machine Learning Scientist",33000,"EUR",34672,"IT",100,"S","Germany","DEU",276,51,9
"136","DE",2022,"MI","FT","BI Data Analyst",48000,"EUR",50432,"DE",100,"S","Germany","DEU",276,51,9
"137","DE",2022,"SE","FT","Principal Data Scientist",148000,"EUR",155499,"DE",100,"M","Germany","DEU",276,51,9
"138","DE",2022,"SE","FT","Lead Machine Learning Engineer",80000,"EUR",84053,"DE",0,"M","Germany","DEU",276,51,9
"139","DE",2021,"MI","FT","Data Scientist",75000,"EUR",88654,"DE",50,"L","Germany","DEU",276,51,9
"140","DE",2022,"MI","FT","Research Scientist",80000,"EUR",84053,"DE",0,"S","Germany","DEU",276,51,9
"141","DE",2022,"MI","FT","Data Scientist",58000,"EUR",60938,"DE",0,"M","Germany","DEU",276,51,9
"142","DE",2022,"MI","FT","Research Scientist",120000,"EUR",126080,"DE",0,"S","Germany","DEU",276,51,9
"143","DE",2022,"MI","FT","Data Engineer",62500,"EUR",65666,"DE",50,"S","Germany","DEU",276,51,9
"144","DE",2023,"EN","FT","Data Engineer",25000,"EUR",26960,"DE",100,"L","Germany","DEU",276,51,9
"145","DE",2022,"EN","FT","Machine Learning Developer",33000,"USD",33000,"IT",100,"S","Germany","DEU",276,51,9
"146","DE",2022,"EN","FT","Data Engineer",52800,"EUR",55475,"PK",100,"M","Germany","DEU",276,51,9
"147","DE",2022,"MI","FT","Data Scientist",72000,"EUR",75648,"DE",100,"S","Germany","DEU",276,51,9
"148","DE",2021,"EN","FT","Data Engineer",55000,"EUR",65013,"DE",50,"M","Germany","DEU",276,51,9
"149","DE",2020,"EN","PT","ML Engineer",14000,"EUR",15966,"DE",100,"S","Germany","DEU",276,51,9
"150","DE",2021,"EN","FT","Machine Learning Engineer",85000,"USD",85000,"NL",100,"S","Germany","DEU",276,51,9
"151","DE",2022,"MI","FT","Machine Learning Engineer",80000,"EUR",84053,"FR",100,"M","Germany","DEU",276,51,9
"152","DE",2022,"MI","FT","Data Scientist",61000,"EUR",64090,"DE",0,"M","Germany","DEU",276,51,9
"153","DE",2020,"EN","FT","Data Scientist",43200,"EUR",49268,"DE",0,"S","Germany","DEU",276,51,9
"154","DE",2020,"SE","FT","Principal Data Scientist",130000,"EUR",148261,"DE",100,"M","Germany","DEU",276,51,9
"155","DE",2021,"SE","FT","Data Analyst",54000,"EUR",63831,"DE",50,"L","Germany","DEU",276,51,9
"156","DE",2021,"SE","FT","Data Analytics Engineer",67000,"EUR",79197,"DE",100,"L","Germany","DEU",276,51,9
"157","DE",2021,"SE","FT","Principal Data Scientist",147000,"EUR",173762,"DE",100,"M","Germany","DEU",276,51,9
"158","DE",2021,"SE","FT","Machine Learning Engineer",80000,"EUR",94564,"DE",50,"L","Germany","DEU",276,51,9
"159","DE",2022,"EN","FT","Machine Learning Research Engineer",63000,"EUR",66192,"DE",50,"L","Germany","DEU",276,51,9
"160","DE",2020,"EN","FT","Data Engineer",48000,"EUR",54742,"PK",100,"L","Germany","DEU",276,51,9
"161","DE",2021,"EX","FT","Director of Data Science",120000,"EUR",141846,"DE",0,"L","Germany","DEU",276,51,9
"162","DE",2022,"EN","FT","BI Data Analyst",58000,"EUR",60938,"DE",0,"L","Germany","DEU",276,51,9
"163","DE",2021,"EN","FT","Data Science Consultant",65000,"EUR",76833,"DE",0,"L","Germany","DEU",276,51,9
"164","DK",2021,"EN","PT","Computer Vision Software Engineer",120000,"DKK",19073,"DK",50,"L","Denmark","DNK",208,56,10
"165","DK",2021,"SE","FT","Marketing Data Analyst",75000,"EUR",88654,"GR",100,"L","Denmark","DNK",208,56,10
"166","DK",2021,"EN","PT","Computer Vision Engineer",180000,"DKK",28609,"DK",50,"S","Denmark","DNK",208,56,10
"167","DK",2020,"EN","FT","AI Scientist",3e+05,"DKK",45896,"DK",50,"S","Denmark","DNK",208,56,10
"168","DZ",2022,"EN","PT","Data Scientist",1e+05,"USD",1e+05,"DZ",50,"M","Algeria","DZA",12,28,3
"169","EE",2023,"SE","FT","Data Scientist",59000,"EUR",63627,"CY",50,"L","Estonia","EST",233,59,26
"170","EE",2022,"MI","FT","Head of Data",30000,"EUR",31520,"EE",100,"S","Estonia","EST",233,59,26
"171","EG",2022,"MI","FT","Machine Learning Scientist",22800,"USD",22800,"EG",100,"M","Egypt","EGY",818,27,30
"172","ES",2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"M","Spain","ESP",724,40,-4
"173","ES",2022,"SE","FT","Data Analyst",48000,"EUR",50432,"ES",0,"M","Spain","ESP",724,40,-4
"174","ES",2022,"MI","FT","Data Analyst",30000,"EUR",31520,"ES",100,"M","Spain","ESP",724,40,-4
"175","ES",2023,"SE","FT","Data Analyst",48000,"EUR",51764,"ES",0,"M","Spain","ESP",724,40,-4
"176","ES",2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"M","Spain","ESP",724,40,-4
"177","ES",2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"M","Spain","ESP",724,40,-4
"178","ES",2022,"SE","FT","Data Engineer",35000,"EUR",36773,"ES",0,"M","Spain","ESP",724,40,-4
"179","ES",2023,"SE","FT","Data Analyst",48000,"EUR",51764,"ES",100,"M","Spain","ESP",724,40,-4
"180","ES",2022,"MI","FT","Data Engineer",70000,"EUR",73546,"ES",100,"M","Spain","ESP",724,40,-4
"181","ES",2022,"SE","FT","Data Engineer",70000,"EUR",73546,"ES",0,"M","Spain","ESP",724,40,-4
"182","ES",2022,"SE","FT","Data Engineer",40000,"EUR",42026,"ES",0,"M","Spain","ESP",724,40,-4
"183","ES",2022,"SE","FT","Data Engineer",65000,"EUR",68293,"ES",0,"M","Spain","ESP",724,40,-4
"184","ES",2021,"SE","FT","AI Scientist",55000,"USD",55000,"ES",100,"L","Spain","ESP",724,40,-4
"185","ES",2021,"EN","PT","Data Analyst",8760,"EUR",10354,"ES",50,"M","Spain","ESP",724,40,-4
"186","ES",2021,"MI","FT","Data Scientist",39600,"EUR",46809,"ES",100,"M","Spain","ESP",724,40,-4
"187","ES",2022,"SE","FT","Data Engineer",35000,"EUR",36773,"ES",0,"M","Spain","ESP",724,40,-4
"188","ES",2023,"SE","FT","Research Scientist",169200,"USD",169200,"ES",0,"M","Spain","ESP",724,40,-4
"189","ES",2022,"EN","FT","Data Science Consultant",26000,"EUR",27317,"ES",50,"L","Spain","ESP",724,40,-4
"190","ES",2021,"MI","FT","Machine Learning Engineer",40000,"EUR",47282,"ES",100,"S","Spain","ESP",724,40,-4
"191","ES",2022,"SE","FT","Data Analyst",35000,"EUR",36773,"ES",0,"M","Spain","ESP",724,40,-4
"192","ES",2022,"SE","FT","Data Engineer",35000,"EUR",36773,"ES",0,"M","Spain","ESP",724,40,-4
"193","ES",2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"M","Spain","ESP",724,40,-4
"194","ES",2023,"SE","FT","Data Analyst",38000,"EUR",40980,"ES",0,"M","Spain","ESP",724,40,-4
"195","ES",2022,"MI","FT","Data Analyst",40000,"EUR",42026,"ES",100,"M","Spain","ESP",724,40,-4
"196","ES",2022,"SE","FT","Data Engineer",65000,"EUR",68293,"ES",0,"M","Spain","ESP",724,40,-4
"197","ES",2022,"SE","FT","Data Engineer",65000,"EUR",68293,"ES",0,"M","Spain","ESP",724,40,-4
"198","ES",2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"M","Spain","ESP",724,40,-4
"199","ES",2023,"SE","FT","Data Analyst",52000,"EUR",56078,"ES",100,"M","Spain","ESP",724,40,-4
"200","ES",2020,"MI","FT","Data Scientist",34000,"EUR",38776,"ES",100,"M","Spain","ESP",724,40,-4
"201","ES",2022,"MI","FT","Data Engineer",80000,"EUR",84053,"ES",100,"M","Spain","ESP",724,40,-4
"202","ES",2023,"MI","FT","Data Engineer",80000,"USD",80000,"ES",100,"M","Spain","ESP",724,40,-4
"203","ES",2021,"EX","FT","Data Science Consultant",59000,"EUR",69741,"FR",100,"S","Spain","ESP",724,40,-4
"204","ES",2023,"SE","FT","Data Analyst",38000,"EUR",40980,"ES",0,"M","Spain","ESP",724,40,-4
"205","ES",2023,"SE","FT","Data Analyst",48000,"EUR",51764,"ES",0,"M","Spain","ESP",724,40,-4
"206","ES",2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"M","Spain","ESP",724,40,-4
"207","ES",2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"M","Spain","ESP",724,40,-4
"208","ES",2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"M","Spain","ESP",724,40,-4
"209","ES",2020,"EX","FT","Data Engineering Manager",70000,"EUR",79833,"ES",50,"L","Spain","ESP",724,40,-4
"210","ES",2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"M","Spain","ESP",724,40,-4
"211","ES",2022,"SE","FT","Data Analyst",38000,"EUR",39925,"ES",0,"M","Spain","ESP",724,40,-4
"212","ES",2023,"MI","FT","Data Engineer",55000,"EUR",59313,"ES",100,"M","Spain","ESP",724,40,-4
"213","ES",2022,"SE","FT","Data Analyst",48000,"EUR",50432,"ES",0,"M","Spain","ESP",724,40,-4
"214","ES",2022,"EN","FT","Data Scientist",30000,"EUR",31520,"ES",50,"M","Spain","ESP",724,40,-4
"215","ES",2023,"SE","FT","Research Scientist",169200,"USD",169200,"ES",0,"M","Spain","ESP",724,40,-4
"216","ES",2023,"SE","FT","Research Scientist",253750,"USD",253750,"ES",0,"M","Spain","ESP",724,40,-4
"217","ES",2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"M","Spain","ESP",724,40,-4
"218","ES",2023,"SE","FT","Research Scientist",253750,"USD",253750,"ES",0,"M","Spain","ESP",724,40,-4
"219","ES",2022,"MI","FT","Data Engineer",70000,"EUR",73546,"ES",100,"M","Spain","ESP",724,40,-4
"220","ES",2022,"EN","FT","AI Scientist",30000,"EUR",31520,"PT",100,"M","Spain","ESP",724,40,-4
"221","ES",2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"M","Spain","ESP",724,40,-4
"222","ES",2022,"MI","FT","Data Engineer",45000,"EUR",47280,"ES",100,"M","Spain","ESP",724,40,-4
"223","ES",2022,"SE","FT","Data Analyst",35000,"EUR",36773,"ES",0,"M","Spain","ESP",724,40,-4
"224","ES",2023,"MI","FT","Data Engineer",62000,"EUR",66862,"ES",100,"M","Spain","ESP",724,40,-4
"225","ES",2022,"MI","FT","Data Engineer",60000,"EUR",63040,"ES",100,"M","Spain","ESP",724,40,-4
"226","ES",2022,"SE","FT","Data Analyst",48000,"EUR",50432,"ES",0,"M","Spain","ESP",724,40,-4
"227","ES",2022,"SE","FT","Data Analyst",35000,"EUR",36773,"ES",0,"M","Spain","ESP",724,40,-4
"228","ES",2021,"MI","FT","Data Scientist",32000,"EUR",37825,"ES",100,"L","Spain","ESP",724,40,-4
"229","ES",2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"M","Spain","ESP",724,40,-4
"230","ES",2023,"MI","FT","Data Engineer",95000,"USD",95000,"ES",100,"M","Spain","ESP",724,40,-4
"231","ES",2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"M","Spain","ESP",724,40,-4
"232","ES",2022,"MI","FT","Data Engineer",80000,"EUR",84053,"ES",100,"M","Spain","ESP",724,40,-4
